Currency,Date,Closing Price (USD),Volume,Volume in BTC
BTC,2015-10-09,243.008836,17353100.0,71409.33756005482
BTC,2015-10-10,244.510468,15912700.0,65079.83126513831
BTC,2015-10-11,245.728105,16827300.0,68479.34630839236
BTC,2015-10-12,247.968202,17388300.0,70123.10392926913
BTC,2015-10-13,246.327044,28198500.0,114475.85917525158
BTC,2015-10-14,250.94498,27462600.0,109436.73788573097
BTC,2015-10-15,253.109233,25223500.0,99654.60248540202
BTC,2015-10-16,254.808467,35901500.0,140896.02446373965
BTC,2015-10-17,263.307075,43199600.0,164065.4737439167
BTC,2015-10-18,273.02095,22434300.0,82170.61730977055
BTC,2015-10-19,264.723178,25258800.0,95415.8989433105
BTC,2015-10-20,265.030491,30889800.0,116551.87251643435
BTC,2015-10-21,270.873073,25637300.0,94646.91235662247
BTC,2015-10-22,267.811006,37808600.0,141176.4234962024
BTC,2015-10-23,275.58681,29442500.0,106835.6645951234
BTC,2015-10-24,278.78217,25942400.0,93056.16639686821
BTC,2015-10-25,283.489442,45717100.0,161265.61778621725
BTC,2015-10-26,284.670332,32108800.0,112792.9270831075
BTC,2015-10-27,287.031072,46331800.0,161417.3673852286
BTC,2015-10-28,295.27047,50808100.0,172073.08268923743
BTC,2015-10-29,304.849329,64495900.0,211566.48174875922
BTC,2015-10-30,314.64625,78305000.0,248866.78293480375
BTC,2015-10-31,328.350947,48598100.0,148006.57785220275
BTC,2015-11-01,315.489281,37001100.0,117281.63911850938
BTC,2015-11-02,330.033308,101918000.0,308811.25489309704
BTC,2015-11-03,365.239184,206162000.0,564457.5090278374
BTC,2015-11-04,404.467665,263900000.0,652462.539867062
BTC,2015-11-05,409.149336,151824992.0,371074.76083011413
BTC,2015-11-06,387.156225,122687000.0,316892.74788233096
BTC,2015-11-07,374.915252,56625100.0,151034.39963546747
BTC,2015-11-08,384.788729,51817600.0,134665.06707372918
BTC,2015-11-09,372.51,68224400.0,183147.8349574508
BTC,2015-11-10,379.755748,95797904.0,252261.89334729966
BTC,2015-11-11,337.811773,107070000.0,316951.6534286092
BTC,2015-11-12,313.437678,78477800.0,250377.68433187538
BTC,2015-11-13,336.959702,52003000.0,154330.0272743
BTC,2015-11-14,337.125328,38612000.0,114533.07358739892
BTC,2015-11-15,333.363021,44213100.0,132627.48779805424
BTC,2015-11-16,320.338059,47980100.0,149779.5802028007
BTC,2015-11-17,331.338683,51001600.0,153925.88495319153
BTC,2015-11-18,336.002956,43783800.0,130307.78217320208
BTC,2015-11-19,335.033453,45011100.0,134348.0765784902
BTC,2015-11-20,326.259347,53152900.0,162916.09876850518
BTC,2015-11-21,322.032527,28200500.0,87570.34658179109
BTC,2015-11-22,327.083987,23439400.0,71661.71665872472
BTC,2015-11-23,324.485901,27478900.0,84684.41900038054
BTC,2015-11-24,323.2271,29362600.0,90842.01170013282
BTC,2015-11-25,319.830436,41666900.0,130278.0952341884
BTC,2015-11-26,329.066694,106105000.0,322442.2341569457
BTC,2015-11-27,353.4172,55179100.0,156130.20532107662
BTC,2015-11-28,358.325404,36816600.0,102746.27360777356
BTC,2015-11-29,357.360357,40409300.0,113077.17604501944
BTC,2015-11-30,371.334771,71701600.0,193091.53249211883
BTC,2015-12-01,377.106935,60452200.0,160305.19300844998
BTC,2015-12-02,362.69454,54160500.0,149328.13711505002
BTC,2015-12-03,359.260337,50714900.0,141164.7620872771
BTC,2015-12-04,361.419012,35784100.0,99010.0100212769
BTC,2015-12-05,363.521242,66282200.0,182333.7740466897
BTC,2015-12-06,389.085842,77762000.0,199858.2102095609
BTC,2015-12-07,387.673972,63455800.0,163683.41591939528
BTC,2015-12-08,395.888359,57801400.0,146004.29309415485
BTC,2015-12-09,417.537283,90917200.0,217746.30362769304
BTC,2015-12-10,418.410117,52138900.0,124611.94861595567
BTC,2015-12-11,415.317683,110944000.0,267130.45107689284
BTC,2015-12-12,452.992626,131969000.0,291327.03806971025
BTC,2015-12-13,435.766619,55050600.0,126330.46589555315
BTC,2015-12-14,433.131342,130496000.0,301285.05454587954
BTC,2015-12-15,444.038826,83121104.0,187193.3243963671
BTC,2015-12-16,465.255061,107944000.0,232010.372478248
BTC,2015-12-17,455.283947,47978400.0,105381.2688019066
BTC,2015-12-18,455.838271,60220100.0,132108.47757010732
BTC,2015-12-19,463.351172,47892700.0,103361.56007392163
BTC,2015-12-20,461.964752,75409400.0,163236.2635320714
BTC,2015-12-21,442.466005,77639696.0,175470.42060327323
BTC,2015-12-22,437.650939,50840400.0,116166.55071314723
BTC,2015-12-23,435.132449,47161400.0,108384.01068084904
BTC,2015-12-24,442.442327,57157200.0,129185.6509017954
BTC,2015-12-25,456.046709,39078500.0,85689.68754470279
BTC,2015-12-26,455.543515,116166000.0,255005.27649921653
BTC,2015-12-27,416.919738,53591200.0,128540.80801518685
BTC,2015-12-28,422.237832,49638600.0,117560.75898002431
BTC,2015-12-29,421.523293,51596500.0,122404.8607914059
BTC,2015-12-30,432.297443,46889400.0,108465.59645276458
BTC,2015-12-31,426.323325,45996600.0,107891.35217971008
BTC,2016-01-01,430.268091,36278900.0,84316.96600062308
BTC,2016-01-02,434.08669,30096600.0,69333.15555010452
BTC,2016-01-03,433.170319,39633800.0,91497.03537282295
BTC,2016-01-04,430.341158,38477500.0,89411.6197921278
BTC,2016-01-05,433.799642,34522600.0,79581.90062314528
BTC,2016-01-06,431.923309,34042500.0,78816.075193571
BTC,2016-01-07,428.824986,87562200.0,204190.9936656536
BTC,2016-01-08,459.08,56993000.0,124146.11832360373
BTC,2016-01-09,453.355402,32278000.0,71198.00460654928
BTC,2016-01-10,448.841116,35995900.0,80197.4211293067
BTC,2016-01-11,448.980776,40450000.0,90092.94420213663
BTC,2016-01-12,448.87073,115607000.0,257550.76522810923
BTC,2016-01-13,433.495184,173888000.0,401130.1772616694
BTC,2016-01-14,431.943931,43945500.0,101738.89907021288
BTC,2016-01-15,429.489608,153351008.0,357054.0593848315
BTC,2016-01-16,358.751705,120352000.0,335474.36380825005
BTC,2016-01-17,388.154719,45319600.0,116756.53491153356
BTC,2016-01-18,380.235228,54403900.0,143079.58861718094
BTC,2016-01-19,385.869421,46819800.0,121335.86506716219
BTC,2016-01-20,378.778018,121720000.0,321349.16551572434
BTC,2016-01-21,418.806847,68338000.0,163173.07247844493
BTC,2016-01-22,409.927143,91546600.0,223324.07493201786
BTC,2016-01-23,381.163769,56247400.0,147567.54071240177
BTC,2016-01-24,386.116962,54824800.0,141990.13613911113
BTC,2016-01-25,402.800034,59062400.0,146629.58047317344
BTC,2016-01-26,390.886096,58147000.0,148756.890037859
BTC,2016-01-27,391.401653,47424400.0,121165.55879747396
BTC,2016-01-28,394.533231,59247900.0,150172.14101288214
BTC,2016-01-29,379.848788,86125296.0,226735.7399071127
BTC,2016-01-30,378.374101,30284400.0,80038.24764951342
BTC,2016-01-31,376.456883,37894300.0,100660.39886963628
BTC,2016-02-01,367.112584,51656700.0,140710.78533227288
BTC,2016-02-02,371.326792,40378700.0,108741.68217843004
BTC,2016-02-03,372.840028,45933400.0,123198.68187543425
BTC,2016-02-04,368.877894,69285504.0,187827.74768281452
BTC,2016-02-05,388.849384,43825000.0,112704.30609708771
BTC,2016-02-06,385.155975,49249300.0,127868.456409121
BTC,2016-02-07,374.844607,37076300.0,98911.12025522618
